"UID","QuestionID","Question","Describtion","Autor","Research QR Code"
"1","governance-internet-things","As the IoT is a very recent phenomenon, the probability of an orderly governing model emerging in the near future is rather unlikely. Further, is it even desirable to regulate its development in this early phase?","","Rob van Kranenburg","R001.png"
"2","making-geoweb-construction-construction-space","Making the GeoWeb – the construction of the construction of space: How do users and commercial interests shape geomedia?","","Tristan Thielmann","R002.png"
"3","what-about-people-geoweb-geomedia-and-society","What about people in the GeoWeb – geomedia and society: How does the GeoWeb interweave with people and their relation to space?","","Tristan Thielmann","R003.png"
"4","what-kind-new-spaces-and-demarcations-are-established-through-mobilization-web","What kind of new spaces and demarcations are established through the mobilization of the Web?","","Tristan Thielmann","R004.png"
"5","how-can-right-informational-self-determination-be-applied-and-implemented-personal","How can the right to informational self-determination be applied and implemented to personal location data?","","Tristan Thielmann","R005.png"
"6","what-media-after-software-how-are-mediation-and-mediality-changing-after-softwarei","What is media after software? How are mediation and mediality changing after softwareization?","","Tristan Thielmann","R006.png"
"7","develop-practical-and-theoretical-framework-understanding-and-using-inherent-and-i","Develop a practical and theoretical framework for understanding and using the inherent and inextricable interrelationship of technology and social policy!","","Avri Doria","R007.png"
"8","create-metric-describing-spread-and-effect-various-policy-principles","Create a metric for describing the spread and effect of various policy principles!","","Avri Doria","R008.png"
"9","define-normative-and-descriptive-conditions-multi-stakeholder-environment-where-ro","Define the normative and descriptive conditions of a multi-stakeholder environment where the role of governments does not include the responsibly for making decisions!","","Avri Doria","R009.png"
"10","internet-its-technologies-and-policies-emergent-developing-entity-subject-natural-","The Internet, its technologies and policies, as an emergent developing entity that is subject to natural laws of ontogeny and evolution!","","Avri Doria","R010.png"
"11","longitudinal-study-following-major-research-trends-over-long-period-understand-not","Longitudinal study following major research trends over a long period to understand not only technologies affects on the policy, but policy's affect on the research!","","Avri Doria","R011.png"
"12","cyclical-history-communications-systems-conditions-make-one-cycle-qualitatively-di","The cyclical history of communications systems, the conditions that make one cycle qualitatively different than a previous cycle and the effect of various forms of policy interaction with governance policy that occurs during a cycle.","","Avri Doria","R012.png"
"13","application-commons-theory-issues-social-policy-and-virtual-communities","The application of Commons Theory# to the issues of social policy and virtual communities.","","Avri Doria","R013.png"
"14","can-cross-country-comparison-demonstrate-significant-difference-between-structures","Can cross-country comparison demonstrate significant difference between the structures of governance on social media platforms? If so, what are plausible causes for those variations?","","Jan-Hinrik Schmidt","R014.png"
"15","patterns-legalization-internet-0","Patterns of Legalization in the Internet: Who produces them?","","Osvaldo Saldías","R015.png"
"16","patterns-legalization-internet-2","Patterns of Legalization in the Internet: How does soft develop into hard (constitutional) law?","","Osvaldo Saldías","R016.png"
"17","patterns-legalization-internet-3","Are there identifiable constitutional implications of such processes? Is there a process of juridification of Internet related norms?","","Osvaldo Saldías","R017.png"
"18","mapping-public-domain-empirically-what-areas-public-domain-are-most-relevant-diffe","Mapping the Public Domain Empirically: What Areas of the Public Domain are Most Relevant in Different Fields?","","Leonhard Dobusch","R018.png"
"19","public-domain-and-free-speech-how-have-technological-and-regulatory-changes-public","Public Domain and Free Speech: How have technological and regulatory changes of the public domain affected democratic dialogue?","","Leonhard Dobusch","R019.png"
"20","public-domain-and-innovation-how-are-public-domain-material-and-rights-utilized-in","Public Domain and Innovation: How are public domain material and rights utilized in (inter-)organizational innovation practices?","","Leonhard Dobusch","R020.png"
"21","public-domain-governance-and-innovation-why-and-how-do-different-forms-public-doma","Public Domain, Governance and Innovation: Why and how do different forms of public domain governance impact innovative processes?","","Leonhard Dobusch","R021.png"
"22","public-domain-and-regulation-what-are-consequences-interactions-between-different-","Public Domain and regulation: What are the consequences of interactions between different types of public domain regulation over time?","","Leonhard Dobusch","R022.png"
"23","early-eu-research-programmes-and-their-legacy-effects-i3-and-disappearing-computer","Early EU research programmes and their legacy, the effects of i3 and the Disappearing Computer on current EU FP7 and FP8.","","Rob van Kranenburg","R023.png"
"24","educational-programs-deal-speed-scope-impact-and-shape-challenges-are-posed-what-n","Educational programs to deal with the speed, scope, impact and shape of the challenges that are posed by what is now termed 'Internet of Things' need tools to be built as dynamic processes.","","Rob van Kranenburg","R024.png"
"25","trust-privacy-infrastructure-and-governance","What kind of middleware is necessary to create interoperable corridors between the regional developments? How can the social and cultural be embedded as social standards into the technical standards?","","Rob van Kranenburg","R025.png"
"26","how-are-internet-related-norms-produced","How are Internet related norms produced? Who produces them? Under what circumstances do these norms become legally relevant?","","Osvaldo Saldías","R026.png"
"27","how-does-soft-develop-hard-constitutional-law","How does soft develop into hard (constitutional) law?","","Osvaldo Saldías","R027.png"
"28","are-there-identifiable-constitutional-implications-such-processes","Are there identifiable constitutional implications of such processes?","","Osvaldo Saldías","R028.png"
"29","there-process-juridification-internet-related-norms","Is there a process of juridification of Internet related norms?","","Osvaldo Saldías","R029.png"
"30","norms-virtual-life","How are existing norms expressed on the internet? Is the process of developing and modifying norms on the internet comparable to that in “non virtual” life? What are the mechanisms of codifying norms on the internet? Are we tolerating the same things in real and virtual life?","","Johanna Sprondel","R030.png"
"31","internet-usage-attention-and-selective-criteria","How are the selective criteria in internet usage differentiated according to socio-cultural groups? How do these attentive structures change and can they be manipulated? How can they be used for the development and stabilization of global constituational forms and laws?","Internet usage: Attention and selective criteria","Johanna Sprondel","R031.png"
"32","perception-and-expression-self-others-and-social-groups","How important are terms like “gender”, “identity”, “alterity” in web 2.0? How is the freedom granted by the internet to constitute an “alter-ego” used and abused and how do mechanisms of social selection and sanction work?","Perception and expression of self, others and social groups","Johanna Sprondel","R032.png"
"33","interaction-lifeworld-and-internet-development-new-habits-social-and-political-net","Does it change our language or does it just add a different terminology to our language? Does it influence our methods when it comes to research? And would all this apply also to “real life” or do we have a “alter-habit” that we just act out online?","Interaction of lifeworld and internet: Development of new habits, social and political networks","Johanna Sprondel","R033.png"
"34","horizon-scanning-identifying-key-issues-early-stage","• Which developments and issues emerge in the area of Internet & Society?
• How can the issues identified be ranked or clustered?
• Which opportunities and risks coin each issue in particular, and which
opportunities and risks are of a cross-­‐‑cutting nature?
• Which protagonists and organizations are important in this context?","Horizon Scanning: Identifying Key Issues at an Early Stage","Britta Oertel","R034.png"
"35","transdisciplinary-technology-forecasting-creating-value-decision-making","• Is transdisciplinary technology forecasting a valuable approach to provide a basis for solid future‐oriented understanding for short‐term decision‐making or policy evaluation? How can transdisciplinary technology foresight processes be organized, structured and facilitated? How can the results foster innovation possibilities and avoid barriers in a transdisciplinary context?","","Michaela Woelk","R035.png"
"36","scanning-and-sourcing-crowd-new-sources-social-research","• Are there any good examples of scanning and crowd sourcing with regard to futures studies?
• What possibilities exist for using new sources of data for social research?
• Which rules need to be established with regard to privacy concerns as well
as competent and appropriate data‐handling?","","Rolf Kreibich","R036.png"
